Router Name,Country Code,Bandwidth (KB/s),Uptime (Days),IP Address,Hostname,ORPort,DirPort,Flag - Authority,Flag - Exit,Flag - Fast,Flag - Guard,Flag - Named,Flag - Stable,Flag - Running,Flag - Valid,Flag - V2Dir,Flag - HSDir,Platform,Flag - Hibernating
Schlangenbad,DE,3379,95,91.54.145.10,p5B36910A.dip0.t-ipconnect.de,80,None,0,0,1,1,0,1,1,1,1,0,Tor 0.4.2.5 on Linux,0
Schlawiner,DE,3046,402,84.133.214.88,p5485D658.dip0.t-ipconnect.de,443,9030,0,0,1,1,0,1,1,1,1,1,Tor 0.4.2.5 on Linux,0
schlunzer,DE,93,3163,91.250.100.7,alboh.de,9001,None,0,0,0,0,0,1,1,1,1,0,Tor 0.2.9.10 on Linux,0
schmaggofatz,CH,2549,118,178.82.241.4,178-82-241-4.dynamic.hispeed.ch,9001,None,0,0,1,1,0,1,1,1,1,1,Tor 0.3.5.8 on Linux,0
schmortor,US,1052,315,104.236.87.90,104.236.87.90,9001,9030,0,0,1,0,0,1,1,1,1,1,Tor 0.4.2.6 on Linux,0
Schmutzig,NL,23428,199,145.220.0.15,anonymous.schmutzig.org,9001,9030,0,0,1,1,0,1,1,1,1,1,Tor 0.4.2.6 on FreeBSD,0
Schneier,NL,656,302,80.127.152.4,schneier.fnerk.org,443,80,0,0,1,0,0,1,1,1,1,1,Tor 0.4.2.6 on Linux,0
Schniedelwutz,N/A,32252,131,93.177.66.54,v2201907984692403.nicesrv.de,9001,9030,0,0,1,1,0,1,1,1,1,1,Tor 0.4.2.6 on Linux,0
schokomilch,CH,12793,13,176.10.107.180,torexit.schokomil.ch,9001,9030,0,1,1,1,0,1,1,1,1,0,Tor 0.4.2.6 on Linux,0
Schubduese,DE,217,864,88.152.204.150,ip-88-152-204-150.hsi03.unitymediagroup.de,9001,None,0,0,0,0,0,1,1,1,1,0,Tor 0.3.5.8 on Linux,0
schuehlein,BG,19721,580,130.185.250.76,130.185.250.76,443,80,0,1,1,1,0,1,1,1,1,1,Tor 0.3.5.8 on Linux,0
SchulteTorRelay001,CA,14833,158,66.70.211.20,tor.ovh.schulte.org,9001,9030,0,0,1,1,0,1,1,1,1,1,Tor 0.4.2.5 on FreeBSD,0
SchwarzeLocke4,DE,4340,58,85.10.196.12,caladan.dena-design.de,53,80,0,0,1,1,0,1,1,1,1,0,Tor 0.3.5.8 on Linux,0
Scoobyte,DE,1020,44,193.34.145.88,193.34.145.88,9001,None,0,0,1,0,0,1,1,1,0,0,Tor 0.4.2.6 on Linux,0
scottsmith,US,2454,1139,173.255.250.126,li260-126.members.linode.com,9001,None,0,0,1,0,0,1,1,1,0,0,Tor 0.2.9.16 on Linux,0
scratchingnoises,GR,7779,559,83.212.75.10,snf-7406.ok-kno.grnetcloud.net,443,None,0,0,1,1,0,1,1,1,1,1,Tor 0.4.1.6 on Linux,0
scratchy,FI,732,673,95.217.5.96,static.96.5.217.95.clients.your-server.de,9001,9030,0,0,1,0,0,1,1,1,1,1,Tor 0.4.2.5 on Linux,0
Scrubs,FR,45886,1421,212.129.5.219,212-129-5-219.rev.poneytelecom.eu,9001,9030,0,0,1,1,0,1,1,1,1,1,Tor 0.4.2.5 on Linux,0
scurra,DE,9521,1484,87.118.84.158,km32605-04.keymachine.de,443,80,0,0,1,1,0,1,1,1,1,1,Tor 0.4.1.6 on OpenBSD,0
sd1312TorRelay,US,390,47,68.37.223.44,c-68-37-223-44.hsd1.mi.comcast.net,9001,None,0,0,1,0,0,0,1,1,0,0,Tor 0.4.1.6 on Linux,0
seabreeze,DE,132,2096,185.15.94.14,tempest.darkpackets.org,9001,9030,0,0,0,0,0,1,1,1,1,0,Tor 0.4.1.6 on OpenBSD,0
seadog007,TW,1014,3714,59.127.163.155,59-127-163-155.HINET-IP.hinet.net,9001,9030,0,1,1,0,0,1,1,1,1,1,Tor 0.3.5.8 on Linux,0
SebnemKorurFincanci,CA,7485,36,144.217.60.211,ip211.ip-144-217-60.net,444,81,0,1,1,1,0,1,1,1,1,0,Tor 0.4.2.6 on Linux,0
SEBO2000,DE,2202,48,84.46.79.141,84.46.79.141.static-pppoe.dt.ipv4.wtnet.de,9001,None,0,0,1,0,0,1,1,1,1,0,Tor 0.4.2.6 on Linux,0
SEC6xFreeBSD64,NL,14225,199,192.87.28.28,anonymous6.sec.nl,9001,9030,0,0,1,0,0,1,1,1,1,1,Tor 0.4.2.6 on FreeBSD,0
Seccom01,FR,11736,3583,217.182.94.58,ip-217-182-94.eu,443,80,0,0,1,1,0,1,1,1,1,1,Tor 0.3.5.8 on Linux,0
Seccom02,FR,11596,3583,51.83.254.153,51.83.254.153,443,80,0,0,1,1,0,1,1,1,1,1,Tor 0.3.5.8 on Linux,0
Seccom03,CA,11441,3583,54.39.176.60,ip-54-39-176.eu,443,80,0,0,1,1,0,1,1,1,1,1,Tor 0.3.5.8 on Linux,0
Seccom04,FR,11666,2769,51.77.111.67,ip-51-77-111.eu,443,80,0,0,1,1,0,1,1,1,1,1,Tor 0.3.5.8 on Linux,0
SecretTrumpPornHub,US,4182,294,136.27.44.53,136.27.44.53,9001,9030,0,0,1,1,0,1,1,1,1,1,Tor 0.4.2.5 on Linux,0
SecureHSC,US,1233,471,74.207.242.7,mail.happysumo.com,9001,None,0,0,1,0,0,1,1,1,0,0,Tor 0.4.2.5 on Linux,0
SECxFreeBSD64,NL,11862,2038,195.169.125.226,anonymous.sec.nl,9001,9030,0,0,1,1,0,1,1,1,1,1,Tor 0.4.2.4-rc on FreeBSD,0
SedanUK,DE,219,84,93.104.124.203,ppp-93-104-124-203.dynamic.mnet-online.de,9001,None,0,0,0,0,0,1,1,1,1,0,Tor 0.4.2.5 on Linux,0
seegurke,DE,1031,53,217.249.101.225,pD9F965E1.dip0.t-ipconnect.de,9001,80,0,0,1,0,0,1,1,1,1,0,Tor 0.4.1.6 on OpenBSD,0
seele,US,108,292,67.174.243.193,c-67-174-243-193.hsd1.ca.comcast.net,9001,None,0,0,0,0,0,1,1,1,1,0,Tor 0.4.2.6 on Linux,0
sellerie,AT,58946,548,109.70.100.10,109.70.100.10,443,80,0,1,1,1,0,1,1,1,1,1,Tor 0.4.2.5 on FreeBSD,0
SemaTorRelay01,DK,2907,100,152.115.46.132,152.115.46.132,443,80,0,0,1,0,0,0,1,1,1,0,Tor 0.4.2.6 on FreeBSD,0
SemTempoIrmao,IT,8407,308,193.234.225.67,193.234.225.67,9001,None,0,0,1,1,0,1,1,1,1,1,Tor 0.4.2.6 on FreeBSD,0
sendlingertor,FR,111,289,51.15.112.19,19-112-15-51.rev.cloud.scaleway.com,9001,None,0,0,0,0,0,1,1,1,0,0,Tor 0.3.5.8 on Linux,0
sennovakatido,NO,11124,73,80.213.176.78,ti0004a400-5435.bb.online.no,9001,9030,0,0,1,0,0,1,1,1,1,0,Tor 0.4.2.6 on Linux,0
Sensenmann,DE,295,18,87.188.196.103,p57BCC467.dip0.t-ipconnect.de,9001,9030,0,0,1,0,0,0,1,1,1,0,Tor 0.4.1.6 on Linux,0
sentinel,SK,4984,441,147.232.191.48,147.232.191.48,9001,9030,0,0,1,0,0,0,1,1,1,0,Tor 0.4.1.8 on Linux,0
Sepiidae,US,758,78,71.238.214.21,c-71-238-214-21.hsd1.ar.comcast.net,9001,None,0,0,1,0,0,1,1,1,0,0,Tor 0.3.5.8 on Linux,0
serana,US,3531,3350,104.225.219.232,104.225.219.232,9001,None,0,0,1,0,0,1,1,1,0,0,Tor 0.2.9.16 on Linux,0
sereya,FR,2094,1424,51.38.80.214,214.ip-51-38-80.eu,9001,9030,0,0,1,1,0,1,1,1,1,1,Tor 0.4.2.5 on Linux,0
Serge,US,1206,24,66.111.2.131,66.111.2.131.static.nyinternet.net,9001,9030,1,0,0,0,0,1,1,1,1,0,Tor 0.4.1.6 on OpenBSD,0
serpent,US,237,1264,136.168.201.153,ccrps33.cs.csubak.edu,9001,None,0,0,0,0,0,1,1,1,0,0,Tor 0.2.9.14 on Linux,0
Serpent,LU,14177,200,104.244.75.155,.,443,None,0,0,1,1,0,1,1,1,1,1,Tor 0.4.2.6 on Linux,0
SerpentRangers,SG,3407,600,119.161.100.138,s0.ifix-fast.net,9001,9030,0,1,1,0,0,1,1,1,1,1,Tor 0.4.2.5 on Linux,0
serpico,N/A,11936,2257,45.141.157.50,45.141.157.50,443,80,0,0,1,1,0,1,1,1,1,0,Tor 0.4.1.6 on Linux,0
serv,DE,4796,46,134.119.32.208,serv.point-of-infinity.net,9001,9030,0,0,1,1,0,1,1,1,1,0,Tor 0.4.2.6 on Linux,0
ServbrPrague,IN,6232,3691,116.202.111.200,static.200.111.202.116.clients.your-server.de,443,80,0,0,1,1,0,1,1,1,1,1,Tor 0.4.1.5 on Linux,0
ServbrQuebec,CA,11370,3127,142.44.243.241,quebec.servbr.net,443,80,0,0,1,1,0,1,1,1,1,1,Tor 0.4.1.6 on Linux,0
ServbrZagreb,IN,6209,54,116.203.212.173,zagreb.servbr.net,443,80,0,0,1,1,0,1,1,1,1,0,Tor 0.4.1.5 on Linux,0
server001,MD,4416,2346,185.163.45.212,185-163-45-212.mivocloud.com,443,80,0,0,1,1,0,1,1,1,1,1,Tor 0.3.5.8 on Linux,0
ServerForge1,US,10073,165,173.71.158.14,pool-173-71-158-14.nrflva.fios.verizon.net,9001,9030,0,0,1,1,0,1,1,1,1,1,Tor 0.4.2.6 on Linux,0
servicenode01,NO,3087,2021,84.209.130.200,cm-84.209.130.200.getinternet.no,9001,None,0,1,1,1,0,1,1,1,1,1,Tor 0.4.1.6 on Linux,0
SetElement,CA,2243,403,142.93.203.146,142.93.203.146,4443,None,0,0,1,0,0,1,1,1,0,0,Tor 0.2.9.14 on Linux,0
sethsBSDrelayZ8350,US,8019,253,151.197.240.154,pool-151-197-240-154.phil.east.verizon.net,9001,None,0,0,1,0,0,1,1,1,1,1,Tor 0.4.2.6 on FreeBSD,0
setsun,DE,36047,251,144.76.200.80,setsun.org,9001,None,0,0,1,0,0,1,1,1,1,1,Tor 0.4.2.6 on Linux,0
SevenLayers,DE,9713,712,192.124.250.83,metis.mpi-fg-koeln.mpg.de,9001,9030,0,0,1,1,0,1,1,1,1,1,Tor 0.4.2.5 on Linux,0
severalwdadwajunior,FR,1224,7974,147.135.136.72,ns3075989.ip-147-135-136.eu,17353,11289,0,0,1,0,0,1,1,1,1,1,Tor 0.2.9.15 on Linux,0
sexytiem,FI,202,451,95.216.107.148,sexytiem.internationalconspiracy.org,19731,39030,0,1,0,0,0,1,1,1,1,0,Tor 0.4.2.5 on FreeBSD,0
sFtor4,DE,15808,967,88.99.31.186,tereshko.de,34746,None,0,0,1,1,0,1,1,1,1,1,Tor 0.4.2.5 on Linux,0
sgcexitnode,CH,986,130,213.160.32.233,static-c-213-160-32-233.customer.ggaweb.ch,8048,None,0,1,1,0,0,1,1,1,0,0,Tor 0.4.2.5 on FreeBSD,0
sh0uld03,N/A,9116,381,46.232.248.243,sh0uld03.sh0uld.net,443,80,0,0,1,1,0,1,1,1,1,1,Tor 0.4.2.6 on FreeBSD,0
shadowlink,DE,1143,499,209.250.235.197,209.250.235.197.vultr.com,443,None,0,0,1,0,0,1,1,1,0,0,Tor 0.4.2.5 on Linux,0
Shakira,IE,4816,3270,217.115.127.34,217.115.127.34,443,9030,0,0,1,1,0,1,1,1,1,1,Tor 0.4.1.6 on Linux,0
shalazarthewizard,US,933,156,23.239.22.248,li743-248.members.linode.com,9001,9030,0,1,1,0,0,1,1,1,1,1,Tor 0.3.5.8 on Linux,0
shallotandredwine,FR,1774,301,37.187.21.153,brandy.soyellow.net,9001,None,0,0,1,0,0,1,1,1,1,1,Tor 0.4.2.6 on Linux,0
ShardsOfNarsil,US,1424,365,75.176.45.87,cpe-75-176-45-87.carolina.res.rr.com,9001,9030,0,0,1,0,0,1,1,1,1,1,Tor 0.4.2.5 on Linux,0
SharingIsCaring,CA,940,216,23.92.138.206,dhcp-23-92-138-206.cable.user.start.ca,9001,9030,0,0,1,0,0,1,1,1,1,1,Tor 0.4.2.6 on Linux,0
sharkwire,DE,56,26,2.205.196.87,dslb-002-205-196-087.002.205.pools.vodafone-ip.de,9001,None,0,0,0,0,0,0,1,1,1,0,Tor 0.4.2.6 on Linux,0
shawnthesheep,DE,116,7631,188.40.33.217,anon-proxy.thequod.de,9090,None,0,0,0,0,0,1,1,1,0,0,Tor 0.3.5.8 on Linux,0
